Order Date,Requested Delivery Date,Customer Country Code,Product Code,Description,Order Type,Customer Order Code,Value,Currency,Items,Route
18.11.2010,25.11.2011,SE,P7281,Waterproof Parka,VO,C75466,681.17,CNY,61,R8
05.08.2011,22.05.2009,IT,P2186,Lightweight Parka,VO,C53113,15.86,JPY,28,R19
01.03.2009,20.05.2009,FI,P4429,Waterproof Parka,RO,C57339,475.5,JPY,87,R7
14.12.2011,18.11.2011,IT,P6469,Lightweight Parka,RO,C45180,200.07,INR,26,R5
17.03.2010,17.10.2009,NO,P1955,Winter Parka,RO,C82989,223.18,USD,53,R35
24.09.2011,08.09.2009,NO,P8710,Heavy-Duty Parka,RO,C59292,368.19,CNY,12,R19
11.04.2011,12.09.2010,DE,P4267,Heavy-Duty Parka,RO,C56194,155.57,CNY,41,R45
24.03.2010,01.06.2010,SE,P7220,Waterproof Parka,VO,C41981,923.49,CNY,39,R17
25.05.2009,24.06.2009,PL,P7253,Heavy-Duty Parka,VO,C51797,374.76,EUR,47,R20
14.10.2009,23.12.2010,NO,P4178,Winter Parka,VO,C11783,193.81,JPY,73,R1
06.09.2011,30.11.2010,SE,P7349,Heavy-Duty Parka,VO,C64159,281.45,CNY,42,R28
13.11.2009,29.03.2011,SE,P1469,Lightweight Parka,VO,C78020,366.68,USD,59,R18
11.06.2011,24.11.2010,ES,P5282,Waterproof Parka,RO,C81955,983.94,USD,22,R32
25.02.2010,08.05.2010,ES,P9590,Lightweight Parka,RO,C92437,558.09,INR,27,R28
23.01.2011,21.11.2011,DE,P6262,Waterproof Parka,RO,C61308,569.86,EUR,82,R3
11.01.2011,27.07.2011,DE,P8280,Waterproof Parka,VO,C15919,51.45,JPY,15,R19
06.10.2011,04.03.2009,NL,P8755,Waterproof Parka,VO,C26223,580.85,USD,78,R29
04.03.2009,29.07.2010,SE,P9680,Waterproof Parka,VO,C38570,45.8,CNY,69,R23
18.09.2010,20.06.2010,SE,P9141,Heavy-Duty Parka,RO,C50896,794.2,CNY,15,R11
05.02.2010,11.11.2009,NL,P5997,Lightweight Parka,RO,C79592,255.87,CNY,31,R47
07.06.2009,20.02.2009,RU,P3919,Heavy-Duty Parka,RO,C20379,94.43,EUR,57,R47
01.04.2009,11.11.2011,ES,P9204,Heavy-Duty Parka,VO,C70343,264.18,INR,46,R13
17.09.2009,13.03.2010,RU,P7493,Waterproof Parka,RO,C35551,76.65,INR,50,R13
21.04.2011,20.07.2009,FR,P1198,Lightweight Parka,RO,C83388,672.47,USD,7,R32
26.04.2011,24.08.2010,FR,P6959,Waterproof Parka,VO,C49509,631.49,USD,46,R1
24.10.2010,19.09.2009,IT,P4478,Lightweight Parka,VO,C51277,666.33,EUR,91,R31
15.03.2011,11.06.2009,NL,P3195,Winter Parka,RO,C96006,61.17,EUR,32,R5
08.04.2011,21.05.2010,FR,P1510,Lightweight Parka,VO,C96887,610.85,USD,34,R10
24.06.2009,28.01.2009,NL,P3760,Waterproof Parka,VO,C95350,853.05,JPY,23,R14
18.05.2009,21.02.2011,FI,P6001,Winter Parka,RO,C46327,38.19,EUR,96,R14
29.03.2010,11.02.2011,FI,P2069,Heavy-Duty Parka,VO,C25609,747.22,INR,19,R23
08.06.2010,02.01.2011,SE,P8819,Winter Parka,RO,C21150,210.51,CNY,16,R18
08.07.2009,24.01.2011,DE,P7464,Winter Parka,VO,C18086,721.04,INR,97,R50
15.10.2010,01.07.2011,SE,P3203,Winter Parka,VO,C58912,243.1,CNY,28,R5
06.05.2010,12.07.2011,IT,P1707,Winter Parka,RO,C38985,310.69,CNY,22,R11
14.12.2009,27.08.2009,SE,P8964,Heavy-Duty Parka,RO,C91325,436.25,INR,56,R16
08.05.2009,26.06.2009,NL,P2976,Winter Parka,RO,C73737,858.22,INR,88,R15
13.03.2010,23.04.2009,RU,P5759,Winter Parka,RO,C60360,279.37,INR,37,R12
27.12.2009,17.09.2011,DE,P8718,Waterproof Parka,RO,C28763,482.42,EUR,80,R24
01.01.2010,18.01.2011,ES,P4406,Waterproof Parka,VO,C88416,649.86,CNY,95,R20
16.09.2010,19.03.2009,FR,P8530,Winter Parka,VO,C66945,161.38,INR,81,R34
02.11.2010,12.04.2010,DE,P8640,Heavy-Duty Parka,VO,C47217,695.87,EUR,36,R1
08.09.2010,24.04.2009,FR,P6006,Heavy-Duty Parka,VO,C49303,62.01,EUR,90,R2
24.03.2011,20.05.2010,FI,P5127,Heavy-Duty Parka,RO,C95601,433.41,CNY,70,R6
12.12.2009,14.06.2010,DE,P2554,Winter Parka,RO,C94002,283.17,USD,9,R25
22.07.2010,19.05.2009,FR,P6562,Waterproof Parka,RO,C43338,869.02,EUR,19,R42
26.05.2011,16.02.2010,ES,P2688,Waterproof Parka,VO,C76530,503.25,INR,11,R40
29.06.2010,18.06.2010,NO,P4644,Waterproof Parka,RO,C15580,821.98,CNY,96,R5
04.01.2010,15.11.2010,FR,P2419,Winter Parka,VO,C90368,341.47,CNY,57,R40
19.08.2009,21.11.2009,RU,P2994,Winter Parka,RO,C87051,79.0,EUR,28,R37
26.07.2010,18.02.2011,DE,P8852,Waterproof Parka,RO,C40579,18.67,JPY,68,R43
24.05.2011,16.02.2009,ES,P5236,Waterproof Parka,RO,C29813,427.81,INR,30,R13
15.03.2009,22.04.2009,NL,P5516,Winter Parka,VO,C32764,867.64,INR,25,R27
17.08.2011,16.05.2011,DE,P1099,Winter Parka,RO,C87867,526.4,CNY,5,R50
18.10.2011,04.07.2009,RU,P6529,Heavy-Duty Parka,VO,C38430,565.65,EUR,40,R49
22.03.2011,02.04.2010,NL,P8456,Heavy-Duty Parka,RO,C44186,859.43,INR,9,R5
23.01.2011,03.09.2011,FI,P2665,Heavy-Duty Parka,VO,C94512,797.41,JPY,31,R10
07.11.2010,11.05.2011,SE,P1140,Winter Parka,RO,C59663,312.03,CNY,88,R50
02.06.2010,16.07.2010,PL,P4300,Lightweight Parka,RO,C60235,431.31,JPY,97,R38
10.10.2009,25.02.2010,SE,P6760,Winter Parka,RO,C11648,164.83,EUR,50,R1
21.12.2011,26.08.2010,FI,P3636,Waterproof Parka,RO,C21934,48.89,JPY,98,R46
15.02.2010,07.05.2010,NO,P6874,Heavy-Duty Parka,VO,C33276,433.16,EUR,53,R30
23.06.2010,12.07.2011,DE,P1098,Heavy-Duty Parka,RO,C99705,840.06,CNY,34,R31
12.06.2011,11.10.2009,NO,P5983,Lightweight Parka,RO,C71965,58.71,USD,11,R13
16.09.2009,20.08.2009,IT,P9475,Winter Parka,RO,C90289,526.55,USD,12,R5
25.11.2009,01.06.2009,DE,P4256,Lightweight Parka,VO,C61683,342.6,CNY,52,R38
15.01.2010,02.05.2009,IT,P1041,Lightweight Parka,RO,C51275,199.16,USD,38,R24
08.04.2009,07.06.2010,NL,P1452,Winter Parka,VO,C58576,351.08,USD,15,R39
07.03.2009,17.05.2010,FR,P7203,Winter Parka,RO,C36594,838.09,JPY,86,R28
06.07.2009,12.07.2011,SE,P9727,Heavy-Duty Parka,RO,C75258,82.65,EUR,64,R49
16.11.2010,30.03.2010,SE,P1014,Heavy-Duty Parka,VO,C37175,39.08,JPY,50,R26
11.02.2011,28.09.2011,NO,P1365,Winter Parka,RO,C35453,89.45,INR,9,R2
23.12.2009,16.02.2011,NO,P6395,Heavy-Duty Parka,RO,C73760,535.95,EUR,16,R39
09.03.2009,15.05.2011,NO,P3190,Lightweight Parka,VO,C68217,762.6,INR,64,R17
14.09.2010,25.09.2011,ES,P9231,Heavy-Duty Parka,VO,C66572,391.17,JPY,74,R15
21.02.2011,13.04.2009,NO,P1673,Heavy-Duty Parka,VO,C53907,858.46,USD,100,R4
06.01.2011,26.08.2010,IT,P5211,Heavy-Duty Parka,RO,C15012,700.94,INR,73,R4
04.07.2010,31.12.2010,RU,P6627,Heavy-Duty Parka,RO,C66979,439.39,CNY,87,R13
20.12.2010,08.02.2011,PL,P1588,Lightweight Parka,VO,C80771,119.01,EUR,86,R37
13.06.2011,22.08.2011,RU,P3819,Winter Parka,VO,C84834,446.38,JPY,5,R1
30.07.2010,28.08.2009,NL,P4890,Heavy-Duty Parka,VO,C12199,140.28,JPY,79,R11
21.02.2009,16.10.2010,ES,P6327,Waterproof Parka,VO,C22274,458.41,EUR,27,R48
30.10.2009,08.08.2011,FI,P1660,Heavy-Duty Parka,VO,C70717,203.3,CNY,49,R29
31.01.2010,16.11.2009,DE,P4285,Heavy-Duty Parka,RO,C14880,174.59,CNY,94,R44
23.02.2010,06.05.2011,DE,P3479,Lightweight Parka,VO,C88115,648.35,USD,8,R8
07.02.2011,02.08.2011,NL,P2034,Lightweight Parka,VO,C81659,469.45,JPY,12,R17
21.01.2011,22.03.2011,NO,P9419,Lightweight Parka,VO,C18719,661.37,INR,49,R21
18.12.2010,14.09.2009,NL,P7474,Waterproof Parka,VO,C90946,265.25,INR,96,R8
20.11.2011,20.01.2010,NO,P2940,Waterproof Parka,VO,C40853,387.63,USD,7,R17
15.02.2011,09.12.2010,IT,P9680,Heavy-Duty Parka,RO,C24632,808.88,INR,76,R24
05.05.2010,18.11.2009,IT,P8439,Winter Parka,RO,C26547,850.59,USD,5,R41
10.10.2011,25.07.2009,PL,P6128,Winter Parka,VO,C69775,761.29,JPY,7,R25
03.03.2010,05.07.2009,NL,P1322,Waterproof Parka,RO,C92423,690.39,JPY,91,R39
